name	x	y	z
FP1	  80.784	  26.133	 -4.0011
AF7	  68.691	  49.709	 -5.9589
AF3	  76.153	  31.483	  20.847
F1	  59.913	  26.042	  54.381
F3	  57.551	    48.2	   39.87
F5	  54.038	  63.058	  18.126
F7	  49.871	  68.423	 -7.4895
FT7	  26.208	   80.41	 -8.5086
FC5	  28.763	  76.247	  24.167
FC3	  30.955	  59.275	  52.471
FC1	  32.436	  32.351	  71.598
C1	       0	  34.537	  77.667
C3	       0	  63.171	  56.872
C5	       0	  80.832	  26.292
T7	       0	  84.539	 -8.8451
TP7	 -26.208	   80.41	 -8.5086
CP5	 -28.763	  76.247	  24.167
CP3	 -30.955	  59.275	  52.471
CP1	 -32.436	  32.351	  71.598
P1	 -59.913	  26.042	  54.381
P3	 -57.551	    48.2	   39.87
P5	 -54.038	  63.058	  18.126
P7	 -49.871	  68.423	 -7.4895
P9	 -44.484	  59.708	 -41.001
PO7	 -68.691	  49.709	 -5.9589
PO3	 -76.153	  31.483	  20.847
O1	 -80.784	  26.133	 -4.0011
LZ	       0	       0	       0
OZ	 -84.981	       0	  -1.786
POZ	 -79.026	       0	  31.304
PZ	 -60.738	       0	  59.463
CPZ	 -32.928	       0	  78.363
FPZ	  84.981	       0	  -1.786
FP2	  80.784	 -26.133	 -4.0011
AF8	  68.721	 -49.669	  -5.953
AF4	  76.153	 -31.483	  20.847
AFZ	  79.026	       0	  31.304
FZ	  60.738	       0	  59.463
F2	  59.874	 -26.025	  54.431
F4	  57.584	 -48.143	  39.892
F6	  54.026	 -63.045	  18.208
F8	  49.927	 -68.384	 -7.4851
FT8	  26.208	  -80.41	 -8.5086
FC6	  28.763	 -76.247	  24.167
FC4	  30.955	 -59.275	  52.471
FC2	  32.436	 -32.351	  71.598
FCZ	  32.928	       0	  78.363
CZ	       0	       0	      85
C2	       0	 -34.609	  77.635
C4	       0	 -63.167	  56.876
C6	       0	 -80.832	  26.292
T8	       0	 -84.539	 -8.8451
TP8	 -26.285	 -80.385	 -8.5057
CP6	 -28.763	 -76.247	  24.167
CP4	 -30.955	 -59.275	  52.471
CP2	 -32.436	 -32.351	  71.598
P2	 -59.874	 -26.025	  54.431
P4	 -57.584	 -48.143	  39.892
P6	 -54.026	 -63.045	  18.208
P8	 -49.927	 -68.384	 -7.4851
P10	 -44.484	 -59.708	 -41.001
PO8	 -68.721	 -49.669	  -5.953
PO4	 -76.153	 -31.483	  20.847
O2	 -80.784	 -26.133	 -4.0011
